series,name,page_url,image_url,output_path,top_folder,collection_folder
HIPPERS Cherry Blossom Series,Monkey,https://www.sonnyangel.com/products/mini-figure-hippers/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/02/hippers_cherryblossom_banner_web_product-04.png,sonny_png_library_web/regulars/hippers-collections/hippers-cherry-blossom-series/04__monkey.png,regulars,hippers-collections
HIPPERS Cherry Blossom Series,Peacock,https://www.sonnyangel.com/products/mini-figure-hippers/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/02/hippers_cherryblossom_banner_web_product-03.png,sonny_png_library_web/regulars/hippers-collections/hippers-cherry-blossom-series/03__peacock.png,regulars,hippers-collections
HIPPERS Cherry Blossom Series,Rabbit,https://www.sonnyangel.com/products/mini-figure-hippers/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/02/hippers_cherryblossom_banner_web_product-05.png,sonny_png_library_web/regulars/hippers-collections/hippers-cherry-blossom-series/05__rabbit.png,regulars,hippers-collections
HIPPERS Cherry Blossom Series,Reindeer,https://www.sonnyangel.com/products/mini-figure-hippers/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/02/hippers_cherryblossom_banner_web_product-08.png,sonny_png_library_web/regulars/hippers-collections/hippers-cherry-blossom-series/08__reindeer.png,regulars,hippers-collections
HIPPERS Cherry Blossom Series,Sheep,https://www.sonnyangel.com/products/mini-figure-hippers/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/02/hippers_cherryblossom_banner_web_product-10.png,sonny_png_library_web/regulars/hippers-collections/hippers-cherry-blossom-series/10__sheep.png,regulars,hippers-collections
HIPPERS Cherry Blossom Series,Shiba Inu,https://www.sonnyangel.com/products/mini-figure-hippers/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/02/hippers_cherryblossom_banner_web_product-06.png,sonny_png_library_web/regulars/hippers-collections/hippers-cherry-blossom-series/06__shiba-inu.png,regulars,hippers-collections
I LOVE RAINY DAY Series,Axolotl,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/05/05_Axolotl_x200.png,sonny_png_library_web/limited/valentines-collections/i-love-rainy-day-series/05__axolotl.png,limited,valentines-collections
I LOVE RAINY DAY Series,Duck,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/05/02_Duck_x200.png,sonny_png_library_web/limited/valentines-collections/i-love-rainy-day-series/02__duck.png,limited,valentines-collections
I LOVE RAINY DAY Series,Elephant,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/05/05_Elephant_x200.png,sonny_png_library_web/limited/valentines-collections/i-love-rainy-day-series/06__elephant.png,limited,valentines-collections
I LOVE RAINY DAY Series,Frog,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/05/01_Frog_x200.png,sonny_png_library_web/limited/valentines-collections/i-love-rainy-day-series/01__frog.png,limited,valentines-collections
I LOVE RAINY DAY Series,Goldfish,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/05/03_Goldfish_x200.png,sonny_png_library_web/limited/valentines-collections/i-love-rainy-day-series/03__goldfish.png,limited,valentines-collections
I LOVE RAINY DAY Series,Hippopotamus,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/05/04_Hippopotamus_x200.png,sonny_png_library_web/limited/valentines-collections/i-love-rainy-day-series/04__hippopotamus.png,limited,valentines-collections
Kiss Kiss(2025),Cat,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/01/Cat.png,sonny_png_library_web/limited/valentines-collections/kiss-kiss-2025/04__cat.png,limited,valentines-collections
Kiss Kiss(2025),Elephant,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/01/Elephant.png,sonny_png_library_web/limited/valentines-collections/kiss-kiss-2025/03__elephant.png,limited,valentines-collections
Kiss Kiss(2025),Fennec,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/01/Fennec.png,sonny_png_library_web/limited/valentines-collections/kiss-kiss-2025/02__fennec.png,limited,valentines-collections
Kiss Kiss(2025),Mouse,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/01/Mouse.png,sonny_png_library_web/limited/valentines-collections/kiss-kiss-2025/05__mouse.png,limited,valentines-collections
Kiss Kiss(2025),Rabbit,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/01/Rabbit.png,sonny_png_library_web/limited/valentines-collections/kiss-kiss-2025/01__rabbit.png,limited,valentines-collections
Pumpkin Patch Series,Cat,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/09/sa_pumpkin_cat_cmyk.png,sonny_png_library_web/limited/special-collections/pumpkin-patch-series/01__cat.png,limited,special-collections
Pumpkin Patch Series,Elephant,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/09/sa_pumpkin_elephant_cmyk.png,sonny_png_library_web/limited/special-collections/pumpkin-patch-series/05__elephant.png,limited,special-collections
Pumpkin Patch Series,Frog,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/09/sa_pumpkin_frog_cmyk.png,sonny_png_library_web/limited/special-collections/pumpkin-patch-series/06__frog.png,limited,special-collections
Pumpkin Patch Series,Lop Ear Rabbit,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/09/sa_pumpkin_lopearrabbit_cmyk.png,sonny_png_library_web/limited/special-collections/pumpkin-patch-series/04__lop-ear-rabbit.png,limited,special-collections
Pumpkin Patch Series,Mouse,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/09/sa_pumpkin_mouse_cmyk.png,sonny_png_library_web/limited/special-collections/pumpkin-patch-series/03__mouse.png,limited,special-collections
Pumpkin Patch Series,Panda,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/09/sa_pumpkin_panda_cmyk.png,sonny_png_library_web/limited/special-collections/pumpkin-patch-series/02__panda.png,limited,special-collections
Santa's Little Helper Series,Dalmatian,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Dalmatian_2.png,sonny_png_library_web/limited/special-collections/santa-s-little-helper-series/02__dalmatian.png,limited,special-collections
Santa's Little Helper Series,Duck,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Duck_2.png,sonny_png_library_web/limited/special-collections/santa-s-little-helper-series/05__duck.png,limited,special-collections
Santa's Little Helper Series,Elephant,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Elephant_2.png,sonny_png_library_web/limited/special-collections/santa-s-little-helper-series/01__elephant.png,limited,special-collections
Santa's Little Helper Series,Lop Ear Rabbit,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Lop-Ear-Rabbit_2.png,sonny_png_library_web/limited/special-collections/santa-s-little-helper-series/04__lop-ear-rabbit.png,limited,special-collections
Santa's Little Helper Series,Pig,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Pig_2.png,sonny_png_library_web/limited/special-collections/santa-s-little-helper-series/03__pig.png,limited,special-collections
Santa's Little Helper Series,Sloth,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/11/Sloth_2.png,sonny_png_library_web/limited/special-collections/santa-s-little-helper-series/06__sloth.png,limited,special-collections
Snack Series,Coffee,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Coffee.png,sonny_png_library_web/regulars/cafe-collections/snack-series/07__coffee.png,regulars,cafe-collections
Snack Series,Donut,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Donut.png,sonny_png_library_web/regulars/cafe-collections/snack-series/09__donut.png,regulars,cafe-collections
Snack Series,French Fries,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/French_Fries.png,sonny_png_library_web/regulars/cafe-collections/snack-series/03__french-fries.png,regulars,cafe-collections
Snack Series,Fried Chicken,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/FriedChicken.png,sonny_png_library_web/regulars/cafe-collections/snack-series/11__fried-chicken.png,regulars,cafe-collections
Snack Series,Fried Chicken Sandwich,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/FriedChickenSandwich.png,sonny_png_library_web/regulars/cafe-collections/snack-series/12__fried-chicken-sandwich.png,regulars,cafe-collections
Snack Series,Hamburger,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Hamburger-1.png,sonny_png_library_web/regulars/cafe-collections/snack-series/01__hamburger.png,regulars,cafe-collections
Snack Series,Hot Dog,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/HotDog.png,sonny_png_library_web/regulars/cafe-collections/snack-series/10__hot-dog.png,regulars,cafe-collections
Snack Series,Ketchup,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Ketchup.png,sonny_png_library_web/regulars/cafe-collections/snack-series/04__ketchup.png,regulars,cafe-collections
Snack Series,Milkshake,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Milkshake.png,sonny_png_library_web/regulars/cafe-collections/snack-series/06__milkshake.png,regulars,cafe-collections
Snack Series,Mustard,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Mustard.png,sonny_png_library_web/regulars/cafe-collections/snack-series/05__mustard.png,regulars,cafe-collections
Snack Series,Sandwich,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Sandwich.png,sonny_png_library_web/regulars/cafe-collections/snack-series/02__sandwich.png,regulars,cafe-collections
Snack Series,Sugar,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Sugar.png,sonny_png_library_web/regulars/cafe-collections/snack-series/08__sugar.png,regulars,cafe-collections
Strawberry Love Series,Fawn,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/01/sa_StrawberryLove_banner_web_product_05-1.png,sonny_png_library_web/limited/valentines-collections/strawberry-love-series/05__fawn.png,limited,valentines-collections
Strawberry Love Series,Lop Ear Rabbit,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/01/sa_StrawberryLove_banner_web_product_02-1.png,sonny_png_library_web/limited/valentines-collections/strawberry-love-series/02__lop-ear-rabbit.png,limited,valentines-collections
Strawberry Love Series,Monkey,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/01/sa_StrawberryLove_banner_web_product_04-1.png,sonny_png_library_web/limited/valentines-collections/strawberry-love-series/04__monkey.png,limited,valentines-collections
Strawberry Love Series,Mouse,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/01/sa_StrawberryLove_banner_web_product_03-1.png,sonny_png_library_web/limited/valentines-collections/strawberry-love-series/03__mouse.png,limited,valentines-collections
Strawberry Love Series,Rabbit,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/01/sa_StrawberryLove_banner_web_product_01-1.png,sonny_png_library_web/limited/valentines-collections/strawberry-love-series/01__rabbit.png,limited,valentines-collections
Strawberry Love Series,Strawberry,https://www.sonnyangel.com/products/mini-figure-limited/,https://www.sonnyangel.com/renewal/wp-content/uploads/2026/01/sa_StrawberryLove_banner_web_product_06-1.png,sonny_png_library_web/limited/valentines-collections/strawberry-love-series/06__strawberry.png,limited,valentines-collections
