output_path,top_folder,collection_folder,series,name,image_url,page_url
sonny_png_library_web/limited/special-collections/halloween-series-2021/03__owl.png,limited,special-collections,Halloween Series(2021),Owl,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/09/owl.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/halloween-series-2021/06__cat.png,limited,special-collections,Halloween Series(2021),Cat,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/09/cat.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/the-sonny-angel-town-musicians-2021/02__donkey.png,limited,special-collections,The Sonny Angel Town Musicians(2021),Donkey,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/07/donkey.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/the-sonny-angel-town-musicians-2021/01__sonny.png,limited,special-collections,The Sonny Angel Town Musicians(2021),Sonny,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/07/sonny.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/the-sonny-angel-town-musicians-2021/03__dog.png,limited,special-collections,The Sonny Angel Town Musicians(2021),Dog,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/07/dog.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/japanese-good-luck-2021/02__mount-fuji.png,limited,special-collections,Japanese Good Luck(2021),Mount Fuji,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/05/mount_fuji.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/japanese-good-luck-2021/01__lucky-cat.png,limited,special-collections,Japanese Good Luck(2021),Lucky Cat,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/05/lucky_cat.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/the-sonny-angel-town-musicians-2021/05__rooster.png,limited,special-collections,The Sonny Angel Town Musicians(2021),Rooster,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/07/rooster.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/japanese-good-luck-2021/04__raccoon-dog.png,limited,special-collections,Japanese Good Luck(2021),Raccoon Dog,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/05/raccoon_dog.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/the-sonny-angel-town-musicians-2021/06__thief.png,limited,special-collections,The Sonny Angel Town Musicians(2021),Thief,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/07/thief.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/cherry-blossom-collections/cherry-blossom-night-version-2021/03__goat.png,limited,cherry-blossom-collections,Cherry Blossom -Night Version- (2021),Goat,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/02/goat.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/japanese-good-luck-2021/03__daruma.png,limited,special-collections,Japanese Good Luck(2021),Daruma,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/05/daruma.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/japanese-good-luck-2021/06__ebisuten.png,limited,special-collections,Japanese Good Luck(2021),Ebisuten,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/05/ebisuten.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/cherry-blossom-collections/cherry-blossom-night-version-2021/02__calico-cat.png,limited,cherry-blossom-collections,Cherry Blossom -Night Version- (2021),Calico Cat,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/02/carico_cat.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/the-sonny-angel-town-musicians-2021/04__cat.png,limited,special-collections,The Sonny Angel Town Musicians(2021),Cat,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/07/cat.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/japanese-good-luck-2021/05__guardian-dog.png,limited,special-collections,Japanese Good Luck(2021),Guardian Dog,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/05/guardian_dog.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/cherry-blossom-collections/cherry-blossom-night-version-2021/01__rabbit.png,limited,cherry-blossom-collections,Cherry Blossom -Night Version- (2021),Rabbit,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/02/rabbit.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/cherry-blossom-collections/cherry-blossom-night-version-2021/04__peacock.png,limited,cherry-blossom-collections,Cherry Blossom -Night Version- (2021),Peacock,https://www.sonnyangel.com/renewal/wp-content/uploads/2021/02/peacock.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/christmas-collections/christmas-presents-from-sonny-angel-2020/05__snow-globe.png,limited,christmas-collections,Christmas Presents from Sonny Angel (2020),Snow Globe,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/10/snow_globe.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/christmas-collections/christmas-presents-from-sonny-angel-2020/03__poinsettia.png,limited,christmas-collections,Christmas Presents from Sonny Angel (2020),Poinsettia,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/10/poinsettia.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/christmas-collections/christmas-presents-from-sonny-angel-2020/01__wrapped-present.png,limited,christmas-collections,Christmas Presents from Sonny Angel (2020),Wrapped Present,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/10/wrapped_present.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/christmas-collections/christmas-presents-from-sonny-angel-2020/02__christmas-stocking.png,limited,christmas-collections,Christmas Presents from Sonny Angel (2020),Christmas Stocking,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/10/christmas_stocking.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/adventure-collections/sonny-angel-in-space-adventure-series-2020/04__alien.png,limited,adventure-collections,Sonny Angel in Space Adventure Series (2020),Alien,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/09/alien.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/christmas-collections/christmas-presents-from-sonny-angel-2020/04__mittens.png,limited,christmas-collections,Christmas Presents from Sonny Angel (2020),Mittens,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/10/mittens.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/christmas-collections/christmas-presents-from-sonny-angel-2020/06__stuffed-robby.png,limited,christmas-collections,Christmas Presents from Sonny Angel (2020),Stuffed Robby,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/10/stuffed_robby.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/adventure-collections/sonny-angel-in-space-adventure-series-2020/01__rocket.png,limited,adventure-collections,Sonny Angel in Space Adventure Series (2020),Rocket,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/09/rocket.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/adventure-collections/sonny-angel-in-space-adventure-series-2020/02__sun.png,limited,adventure-collections,Sonny Angel in Space Adventure Series (2020),Sun,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/09/sun.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/adventure-collections/sonny-angel-in-space-adventure-series-2020/05__moon.png,limited,adventure-collections,Sonny Angel in Space Adventure Series (2020),Moon,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/09/moon.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/adventure-collections/sonny-angel-in-space-adventure-series-2020/03__earth.png,limited,adventure-collections,Sonny Angel in Space Adventure Series (2020),Earth,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/09/earth.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/adventure-collections/sonny-angel-in-space-adventure-series-2020/06__astronaut.png,limited,adventure-collections,Sonny Angel in Space Adventure Series (2020),Astronaut,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/09/astronaut.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/sonny-angel-in-wonderland-series-2020/02__cheshire-cat.png,limited,special-collections,Sonny Angel in Wonderland Series (2020),Cheshire Cat,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/06/cheshire-cat.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/sonny-angel-in-wonderland-series-2020/01__teapot.png,limited,special-collections,Sonny Angel in Wonderland Series (2020),Teapot,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/06/teapot.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/sonny-angel-in-wonderland-series-2020/03__card.png,limited,special-collections,Sonny Angel in Wonderland Series (2020),Card,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/06/card.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/sonny-angel-in-wonderland-series-2020/04__rabbit.png,limited,special-collections,Sonny Angel in Wonderland Series (2020),Rabbit,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/06/rabbit.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/sky-color-collections/sky-color-series-2020/05__snowy.png,limited,sky-color-collections,Sky Color Series (2020),Snowy,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/04/snowy.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/sonny-angel-in-wonderland-series-2020/06__sonny.png,limited,special-collections,Sonny Angel in Wonderland Series (2020),Sonny,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/06/sonny.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/sky-color-collections/sky-color-series-2020/04__thunder.png,limited,sky-color-collections,Sky Color Series (2020),Thunder,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/04/thunder.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/sonny-angel-in-wonderland-series-2020/05__mad-hatter.png,limited,special-collections,Sonny Angel in Wonderland Series (2020),Mad Hatter,https://www.sonnyangel.com/renewal/wp-content/uploads/2020/06/mad-hatter.png,https://www.sonnyangel.com/products/mini-figure-limited/
